unique_id,transaction_id,unformatted_date,customer_id,product_id,product_name,category_id,category_name,parent_id,parent_name,product_count,site_id,site_name,address,city,zip,latitude,longitude,site_status,revenue,gross_profit,costs,units
1652746,20180306|887|2|1|4889245,5/30/18,NA,2499,SWISHER STRWBRY 2P149 CIGRL POCH,335,Tobacco-cigarillo (962),320,Cigars,342,418,887 Greenfield,100 Madison St,Greenfield,73043,35.7276,-98.3789,ACTIVE,4.47,2.025,2.445,3
400046,20171130|435|2|2|2970049,2/23/18,6007.772,2989,MARLB MEN BX,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,199,435 Golden City,519 Main St,Golden City,64748,37.3929,-94.0928,ACTIVE,5.28,0.806,4.474,1
415273,20170223|479|2|2|3129498,5/19/17,NA,3136,MARLB SPCL BLND BLK BX S50,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,236,479 Lincoln,214 E Main St,Lincoln,65338,38.3907,-93.3343,CLOSED,3.83,-0.203,4.033,1
688425,20190613|143|2|1|5832238,9/6/19,12827.38,3018,MARLB MEN MDNGHT BX,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,27,143 Haleyville,42417 Hwy 195,Haleyville,35565,34.1177,-91.3771,ACTIVE,11.58,-0.46858,12.04858,2
2046037,20190213|921|3|3|3528628,5/9/19,NA,18973,G85E10S,1,Fuel Premuim,78,Fuel,68,440,921 Greenwood Vlg,8525 E Arapahoe Rd,Greenwood Vlg,80112,39.5964,-104.891,ACTIVE,25,3.5064,21.4936,11.688
1061549,20190210|391|2|1|7144562,5/6/19,NA,6253,SPRITE 24OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,161,391 Hamilton,1706 Military Street South,Hamilton,35570,34.4062,-91.4074,ACTIVE,2.19,1.01833,1.17167,1
1617010,20170120|878|1|2|3359965,4/15/17,NA,17602,OK RUBY RED 440,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,410,878 Forgan,115 S Broadway St,Forgan,73938,36.9063,-100.535,ACTIVE,2,0.12,1.88,1
2518731,20170110|200|1|100|3606259,4/5/17,NA,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,64,200 Cedar Falls,221 W 6Th St,Cedar Falls,50613,42.5336,-92.4478,ACTIVE,33,4.1262,28.8738,13.754
394247,20170724|966|3|1|1785530,10/17/17,6555.85,6678,GATOR FIERCE STRWBRY 28OZ,252,Sports Drinks,150,Juice/tonics,132,470,966 Cowley,71 E Main St,Cowley,82420,44.8837,-108.468,ACTIVE,2.49,1.38333,1.10667,1
2035542,20190525|667|1|100|5936661,8/18/19,NA,18973,G85E10S,1,Fuel Premuim,78,Fuel,68,336,667 Hooper,11701 State Highway 17,Hooper,81136,37.7451,-105.881,ACTIVE,25.12,2.6928,22.4272,8.976
